rt,trial_type,trial_index,time_elapsed,responses,key_press,is_stimulus,stimulus,stimulus_block,stimulus_side,time_post_trial,subject,is_fullscreen,trial_began,os,browser,mobile,flash,cookies,screen_size,block,sub_block
1515.6,bRMS,262,1417797,,P,,,training,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1215.2,bRMS,263,1419476,,Q,,,training,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
2319.6,bRMS,264,1422261,,Q,,,training,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
2080.5,bRMS,265,1424805,,P,,,training,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
857.2,bRMS,266,1426133,,P,,,training,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1060.7,bRMS,267,1427653,,P,,,training,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
944.9000001,bRMS,268,1429060,,P,,,training,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
848.5,bRMS,269,1430375,,Q,,,training,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
811,bRMS,270,1431653,,P,,,training,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
17412,instructions,271,1449473,,,,,,,,,,,,,,,,,,
2447.4,bRMS,272,1451972,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1005,bRMS,273,1453444,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1298,bRMS,274,1455207,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
778.7,bRMS,275,1456453,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
750.1000001,bRMS,276,1457668,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
665,bRMS,277,1458789,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
651.5,bRMS,278,1459909,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
735.8000002,bRMS,279,1461109,,P,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1100.4,bRMS,280,1462677,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
876.6000001,bRMS,281,1464021,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
795.9000001,bRMS,282,1465285,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
872.5,bRMS,283,1466613,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
786.2,bRMS,284,1467861,,P,,,,0,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
962.4000001,bRMS,285,1469285,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
1015.5,bRMS,286,1470758,,Q,,,,1,400,1,FALSE,0,Windows 10,Chrome 101 (101.0.4951.41),FALSE,no check,TRUE,,63,63
